Title,Category,Published Time,URL
BSW fordert Abschaffung der Zusatzbeiträge für Krankenkassen: Pläne sind nichts als „Utopien“,http://www.merkur.de/wirtschaft,21:12:00,https://www.merkur.de/wirtschaft/bsw-fordert-abschaffung-der-zusatzbeitraege-fuer-krankenkassen-zr-93510009.html
„Ich muss mich verstecken“: Jüdische Menschen in Deutschland haben Angst,https://www.merkur.de/,21:12:00,https://www.merkur.de/politik/ich-muss-mich-verstecken-juedische-menschen-in-deutschland-haben-angst-zr-93510007.html
Kommunen verschicken Grundsteuerbescheide: Was Eigentümer in Bayern jetzt wissen müssen,https://www.merkur.de/,21:21:00,https://www.merkur.de/bayern/neue-grundsteuer-in-bayern-was-eigentuemer-jetzt-wissen-muessen-93510011.html
tz,Nicht bloß Zierde: Was Stier- und Esel-Sticker am Wagen aussagen,https://www.tz.de/auto/rssfeed.rdf,18:59:00,https://www.tz.de/auto/nicht-bloss-zierde-was-stier-und-esel-sticker-am-wagen-aussagen-zr-93255485.html
tz,Nächster Umfrage-Schub: AfD legt weiter zu – Vorsprung der Union schrumpft,https://www.tz.de/politik/rssfeed.rdf,19:16:00,https://www.tz.de/politik/ran-bundestagswahl-2025-naechster-umfrage-schub-afd-robbt-sich-weiter-an-die-union-zr-93509724.html
tz,„Herr im eigenen Haus“: Regierungschef reagiert auf Trumps wilde Grönland-Idee,https://www.tz.de/politik/rssfeed.rdf,13:17:00,https://www.tz.de/politik/regierungschef-reagiert-auf-trumps-wilde-groenland-idee-zr-93509706.html
tz,„Verbringt seine Arbeitszeit beim Essen und im Bierzelt“: NRW-Wirtschaftsministerin Neubaur über Söder,https://www.tz.de/politik/rssfeed.rdf,16:38:00,https://www.tz.de/politik/verbringt-seine-arbeitszeit-beim-essen-und-im-bierzelt-nrw-wirtschaftsministerin-neubaur-ueber-soeder-zr-93509691.html
tz,„Macht die AfD stärker“ – NRW-Wirtschaftsministerin Mona Neubaur geht mit Söder hart ins Gericht,https://www.tz.de/politik/rssfeed.rdf,11:23:00,https://www.tz.de/politik/gruene-nrw-vize-mona-neubaur-ueber-markus-soeder-macht-am-ende-die-afd-staerker-zr-93509616.html
tz,Rechte Szene übt Kritik: Weidel „blamiert“ AfD – kommt es nun zum persönlichen Treffen mit Musk?,https://www.tz.de/politik/rssfeed.rdf,18:51:00,https://www.tz.de/politik/weidel-blamiert-afd-kommt-es-nun-zum-persoenlichen-treffen-mit-musk-zr-93509595.html
tz,Russland verliert Elitesoldaten im Ukraine-Krieg,https://www.tz.de/politik/rssfeed.rdf,19:15:00,https://www.tz.de/politik/russland-verliert-elitesoldaten-im-ukraine-krieg-zr-93509575.html
tz,Boris Palmer: Der polarisierende Oberbürgermeister der Stadt Tübingen,https://www.tz.de/politik/rssfeed.rdf,10:38:00,https://www.tz.de/politik/boris-palmer-fotostrecke-der-polarisierende-oberbuergermeister-der-stadt-tuebingen-zr-93509574.html
tz,Wahlkampf-Wunder wie 2021? Forscher mit düsterer Scholz-Prognose – was den Kanzler schwächt,https://www.tz.de/politik/rssfeed.rdf,09:50:00,https://www.tz.de/politik/wahl-bundestagswahl-2025-experten-duestere-scholz-prognose-spd-aufholjagd-umfrage-kanzler-zr-93509517.html
tz,Bundeswehr plant Großverband für Heimatschutz in Deutschland,https://www.tz.de/politik/rssfeed.rdf,08:52:00,https://www.tz.de/politik/bundeswehr-plant-grossverband-fuer-heimatschutz-in-deutschland-zr-93509483.html
